"","GAZP","MGNT","MTSS","NLMK","SBER","ret_GAZP","ret_MGNT","ret_MTSS","ret_NLMK","ret_SBER"
"2019-11-26",254,3241.5,304.5,128.18,235,-0.00471328445209807,0.000462855828674336,-0.0130507561954909,-0.0209981468397737,-0.0126011223828488
"2019-11-27",253.89,3245.5,306.35,127.8,234.22,-0.000433164668412367,0.00123323585847324,0.00605715202171186,-0.00296898413264657,-0.00332466953016741
"2019-11-28",254,3259.5,306.7,128.3,235.2,0.000433164668412367,0.00430438789106979,0.00114183194854256,0.00390472967815647,0.00417537141048019
"2019-11-29",257.54,3283,304.5,129.42,233.98,0.0138407808271008,0.00718382913700033,-0.00719898397025442,0.00869165800752913,-0.00520057440501631
"2019-12-02",254.05,3253.5,305.85,131.52,233.77,-0.0136439498058962,-0.00902629856655501,0.00442369853862257,0.0160960016787506,-0.000897915613508715
"2019-12-03",247.93,3180,303.1,128.04,230.66,-0.0243846497815801,-0.0228501431608166,-0.0090320016248171,-0.0268162162062078,-0.0133929612081545
"2019-12-04",248.93,3195.5,303.6,128.86,231.59,0.00402528418565584,0.00486237331611505,0.00164826145771801,0.00638382860883357,0.00402380207593733
"2019-12-05",246.36,3199,304.1,131.8,231.71,-0.0103778516249742,0.00109469085918157,0.0016455491618439,0.0225590783579106,0.000518022890927838
"2019-12-06",247.83,3207,300.8,133,235.14,0.0059491464236805,0.00249765974363569,-0.0109110026076342,0.00906350615334706,0.0146944916749376
"2019-12-09",248.7,3231.5,302.5,132.84,237.04,0.00350432356683594,0.00761050500979543,0.00563568539521153,-0.00120373171320765,0.00804782182571451
"2019-12-10",246.9,3234,302.4,132.8,237.91,-0.00726395445822536,0.000773335434102407,-0.000330633165518179,-0.00030115946621212,0.00366354762844256
"2019-12-11",247.34,3230.5,305.2,133.9,240.32,0.00178051196277718,-0.00108283713883139,0.00921665510492353,0.00824901565479319,0.0100789176820175
"2019-12-12",250.48,3235,305.1,135.46,241.05,0.0126151687042393,0.00139200393678074,-0.000327707687677758,0.0115831410896305,0.0030330122758615
"2019-12-13",249.5,3265.5,304.4,137.9,241.21,-0.00392016182657695,0.00938396240771056,-0.00229696573509308,0.0178523910124984,0.000663542511801118
"2019-12-16",250.78,3265.5,306.85,139.16,241.45,0.00511714557081877,0,0.00801640284757532,0.00909556548448531,0.000994488956118644
"2019-12-17",252.05,3272.5,311.2,139.4,241.6,0.00505141976624746,0.0021413284413434,0.0140767634691299,0.00172314804268225,0.000621053741109101
"2019-12-18",251.29,3271,313.85,139.9,246.2,-0.00301982984686333,-0.000458470245671805,0.00847937245930463,0.00358038334501209,0.0188607476896934
"2019-12-19",251.4,3276,312.3,141.38,244,0.00043764547437064,0.00152741743457696,-0.0049509004745083,0.0105234190713723,-0.0089759884571512
"2019-12-20",255.5,3297,313.7,142.46,244.71,0.0161771134876121,0.00638979809876972,0.00447285090760019,0.00760995780740004,0.00290561068739681
"2019-12-23",255,3340,314.05,142.54,248.8,-0.00195886448533322,0.0129578428990165,0.00111509370375718,0.000561403523516191,0.0165755248844253
"2019-12-24",254.87,3371.5,314,141.96,248.67,-0.000509933915770588,0.00938694220388925,-0.000159222992136776,-0.00407733429542834,-0.000522644593480059
"2019-12-25",253.25,3416,318.05,141.8,248.04,-0.00637646811386272,0.0131125267338241,0.0128156172165603,-0.00112771368026898,-0.00253669278986735
"2019-12-26",254.1,3449,319.7,143.02,248.24,0.00335074719732553,0.00961405802838122,0.00517445294098273,0.00856686652222294,0.000805996658447938
"2019-12-27",257.11,3428,320,143.42,252.06,0.0117761185607712,-0.00610733321917145,0.000937939727975845,0.00279290783417885,0.0152711342692209
"2019-12-30",256.4,3425,319.95,143.72,254.75,-0.00276528384037444,-0.00087552902134469,-0.000156262208302671,0.00208957379088925,0.0106155176934886
"2020-01-03",259,3445.5,322.1,144.5,255,0.0100893366530226,0.00596756010093813,0.006697322751684,0.00541254530716895,0.00098087305559158
"2020-01-06",256.55,3416,323.45,141.94,253.9,-0.00950448431156392,-0.00859875588880321,0.00418248615284078,-0.0178750744556497,-0.00432305644779341
"2020-01-08",255.79,3427,328.15,139.5,259.15,-0.00296678204882284,0.00321496696614787,0.0144262784297373,-0.0173398318354172,0.0204665559250827
"2020-01-09",254.07,3348,324.3,141.96,257.99,-0.00674697573753313,-0.0233220902652427,-0.0118018076064592,0.0174807265168759,-0.00448622015519629
"2020-01-10",251.9,3319.5,319.4,143.62,258.19,-0.00857763624305274,-0.00854898345015087,-0.0152247775323602,0.0116255949038759,0.000774923515085568
"2020-01-13",251.5,3345,319.45,146.84,262.4,-0.00158919381877087,0.00765252440311492,0.000156531267440307,0.022172635946462,0.0161743090743292
"2020-01-14",250,3339,317.3,146.92,259.05,-0.00598207167754783,-0.00179533261867526,-0.00675306845920254,0.000544662322832679,-0.0128489638091365
"2020-01-15",251.3,3440,318.65,146.5,256.31,0.00518652668730013,0.0298001104237908,0.00424562317115296,-0.00286279249434429,-0.010633443874692
"2020-01-16",254.26,3625,319.8,147.58,257.51,0.0117099209724305,0.0523828169213303,0.00360247863955099,0.00734497317309835,0.00467090491508504
"2020-01-17",255.39,3623,321.15,150.2,262.5,0.00443442304209896,-0.000551876393698691,0.00421250330394773,0.0175973376998133,0.0191925277304881
"2020-01-20",253.5,3855,327.2,148.78,266.28,-0.00742796553283753,0.0620685951023532,0.0186633010247901,-0.0094990345668382,0.0142973047008246
"2020-01-21",252.99,3840,328.7,147.36,268.06,-0.00201386077657784,-0.00389864041565779,0.0045738759415821,-0.00959013225619909,0.00666244931784821
"2020-01-22",248.1,3750,333.8,144.04,266.54,-0.019518071556905,-0.0237165266173154,0.0153965305575614,-0.0227875337263219,-0.00568650989877018
"2020-01-23",239.3,3702.5,329.95,144.2,263.73,-0.0361138957834273,-0.0127475728225033,-0.0116008833983043,0.0011101860701741,-0.0105984736203837
"2020-01-24",237.95,3796,336.45,145,265.49,-0.00565742734720853,0.0249396135878648,0.019508421804896,0.00553251756972539,0.00665132265803337
"2020-01-27",230.96,3708.5,326.75,143.16,255.32,-0.0298160322124401,-0.0233203985532047,-0.0292541971299958,-0.0127708565227493,-0.0390595148013739
"2020-01-28",235,3751,327.25,144.12,257.7,0.0173409787894796,0.0113949889052734,0.00152905228567857,0.00668339998206768,0.0092784572704625
"2020-01-29",232,3819.5,328.5,144.2,259.94,-0.012848142477849,0.0180970528995275,0.00381243313465607,0.000554938970956265,0.0086547174951237
"2020-01-30",231.53,3830,330.5,143.82,257.31,-0.00202791690320314,0.00274527919327738,0.00606982136707579,-0.00263870717650061,-0.0101692514830027
"2020-01-31",226.7,3727,326.4,138,252.2,-0.0210818972496236,-0.0272611826954332,-0.0124830362017896,-0.0413088325171431,-0.0200591601396205
"2020-02-03",227.64,3720.5,331.95,135.98,253.99,0.00413787622144035,-0.00174555264194254,0.0168607320752168,-0.014745869058892,0.00707247263395505
"2020-02-04",230.5,3750,332.95,138.42,255.4,0.0124854287017797,0.00789777212714071,0.00300797339146275,0.017784725315404,0.00553604743366432
"2020-02-05",232.56,3783.5,331.4,138.82,255.2,0.00889739381391763,0.00889366717012052,-0.00466622356416924,0.0028855884977208,-0.000783392127804206
"2020-02-06",231.38,3713,331,139.44,252.11,-0.00508687564987831,-0.0188093319574971,-0.00120772961539917,0.00445627130032733,-0.0121820512645776
"2020-02-07",229.11,3640,331,139.98,254.3,-0.00985914303234026,-0.0198564935462944,0,0.00386515404962839,0.00864917222201722
